Date;Cases per day;Increase;Cases 
05.03.2021;1;0;1
06.03.2021;7;6;13
07.03.2021;11;4;15
08.03.2021;14;3;17
09.03.2021;17;3;20
10.03.2021;20;3;23
11.03.2021;28;8;36
12.03.2021;34;6;40
13.03.2021;45;11;56
14.03.2021;59;14;73
15.03.2021;63;4;67
16.03.2021;93;30;123
17.03.2021;114;21;135
18.03.2021;147;33;180
19.03.2021;199;52;251
20.03.2021;253;54;307
21.03.2021;306;53;359
22.03.2021;367;61;428
23.03.2021;438;71;509
24.03.2021;495;57;552
25.03.2021;658;163;821
26.03.2021;840;182;1022
27.03.2021;1036;196;1232
28.03.2021;1264;228;1492
29.03.2021;1534;270;1804
30.03.2021;1836;302;2138
